sbscrbr,Plan_Type,data_consumed,load_date
2152390595,PLN-50,57592,11-12-2019
1058852350,PLN-50,66469,11-12-2019
5879009159,PLN-500,61529,11-12-2019
7598506704,PLN-100,63597,11-12-2019
8084937991,PLN-2K,61015,11-12-2019
2749173407,PLN-500,64755,11-12-2019
2021807324,PLN-50,63334,11-12-2019
8775599439,PLN-500,55232,11-12-2019
4682544228,PLN-2K,66396,11-12-2019
7615701682,PLN-50,65357,11-12-2019
6515664166,PLN-50,55793,11-12-2019
2027766534,PLN-500,57320,11-12-2019
9866590863,PLN-50,51470,11-12-2019
9727152829,PLN-500,68723,11-12-2019
3932646752,PLN-2K,57855,11-12-2019
2699592901,PLN-2K,65781,11-12-2019
4196949779,PLN-50,51403,11-12-2019
7969044816,PLN-2K,62142,11-12-2019
7848228476,PLN-100,64632,11-12-2019
3595480181,PLN-500,65621,11-12-2019
3854509678,PLN-500,64795,11-12-2019
2363222315,PLN-500,49517,11-12-2019
8031777977,PLN-500,44960,11-12-2019
3324245844,PLN-2K,33225,11-12-2019
4344459543,PLN-2K,37446,11-12-2019
5824167174,PLN-100,45385,11-12-2019
9137031157,PLN-500,44231,11-12-2019
6574560964,PLN-2K,44077,11-12-2019
8507144831,PLN-2K,32192,11-12-2019
8316239397,PLN-500,26935,11-12-2019
5992394306,PLN-2K,18028,11-12-2019
1212756925,PLN-2K,21212,11-12-2019
4893847672,PLN-50,23570,11-12-2019
2803269101,PLN-2K,19477,11-12-2019
6351921536,PLN-100,28274,11-12-2019
3267009970,PLN-500,24630,11-12-2019
6847541761,PLN-500,15203,11-12-2019
5901445460,PLN-2K,10775,11-12-2019
5137162047,PLN-100,29577,11-12-2019
8863450411,PLN-500,12594,11-12-2019
2685892262,PLN-50,10838,11-12-2019
7098691164,PLN-500,24946,11-12-2019
2012209032,PLN-2K,12322,11-12-2019
6814987711,PLN-2K,26055,11-12-2019
7573494558,PLN-50,21521,11-12-2019
9901219983,PLN-2K,27121,11-12-2019
8224203358,PLN-100,20071,11-12-2019
3601947220,PLN-500,29768,11-12-2019
9841422344,PLN-500,10103,11-12-2019
1128050885,PLN-2K,29207,11-12-2019
5395446628,PLN-100,21609,11-12-2019
5825328583,PLN-500,11036,11-12-2019
2034962840,PLN-50,15076,11-12-2019
3644230143,PLN-500,22693,11-12-2019
4801357382,PLN-2K,27926,11-12-2019
5611334030,PLN-2K,19326,11-12-2019
9579094994,PLN-50,27554,11-12-2019
1315416829,PLN-2K,29519,11-12-2019
7363117661,PLN-100,27632,11-12-2019
2405618454,PLN-500,11314,11-12-2019
2145157625,PLN-500,20582,11-12-2019
6854050411,PLN-2K,14928,11-12-2019
6317881902,PLN-100,23653,11-12-2019
6651906148,PLN-500,29321,11-12-2019
2959157218,PLN-50,19001,11-12-2019
8188114382,PLN-500,26926,11-12-2019
9081936370,PLN-2K,28262,11-12-2019
1044946240,PLN-2K,24084,11-12-2019
6878617338,PLN-50,17829,11-12-2019
2067464136,PLN-2K,26150,11-12-2019
