sbscrbr,Plan_Type,voice_time,sms_used,load_date
5879009159,PLN-100,918,4,11/14/2019
7598506704,PLN-500,915,6,11/14/2019
8084937991,PLN-50,909,4,11/14/2019
2749173407,PLN-500,904,3,11/14/2019
2021807324,PLN-2K,906,4,11/14/2019
8775599439,PLN-2K,920,7,11/14/2019
4682544228,PLN-50,920,5,11/14/2019
7615701682,PLN-2K,909,6,11/14/2019
6515664166,PLN-50,907,7,11/14/2019
2027766534,PLN-500,903,2,11/14/2019
9866590863,PLN-50,908,2,11/14/2019
9727152829,PLN-500,914,2,11/14/2019
3932646752,PLN-2K,908,7,11/14/2019
2699592901,PLN-2K,907,1,11/14/2019
4196949779,PLN-50,920,1,11/14/2019
7969044816,PLN-2K,912,4,11/14/2019
7848228476,PLN-100,908,2,11/14/2019
3595480181,PLN-500,913,5,11/14/2019
3854509678,PLN-500,917,5,11/14/2019
7576518626,PLN-2K,919,6,11/14/2019
9194468242,PLN-100,916,2,11/14/2019
5062718206,PLN-500,908,2,11/14/2019
9497883803,PLN-50,909,2,11/14/2019
3754689807,PLN-500,908,3,11/14/2019
3819802443,PLN-2K,900,7,11/14/2019
1446730539,PLN-2K,916,7,11/14/2019
3144967947,PLN-50,915,2,11/14/2019
8632541976,PLN-2K,906,2,11/14/2019
4892011670,PLN-100,913,7,11/14/2019
4681738720,PLN-500,908,6,11/14/2019
6788186529,PLN-500,918,1,11/14/2019
5706085789,PLN-2K,918,2,11/14/2019
6138634859,PLN-100,918,1,11/14/2019
4321819908,PLN-500,905,7,11/14/2019
5218485221,PLN-50,910,6,11/14/2019
8029855518,PLN-500,910,4,11/14/2019
9425409194,PLN-2K,910,4,11/14/2019
7125213137,PLN-2K,904,7,11/14/2019
9285714279,PLN-50,910,7,11/14/2019
